Density	Attempt	Steps
0,1	1	46
0,1	2	404
0,1	3	409
0,1	4	13
0,1	5	36
0,1	6	543
0,1	7	612
0,1	8	112
0,1	9	37
0,1	10	193
0,1	11	36
0,1	12	347
0,1	13	56
0,1	14	15
0,1	15	15
0,1	16	20
0,1	17	969
0,1	18	20
0,1	19	15
0,1	20	18
0,1	21	854
0,1	22	28
0,1	23	269
0,1	24	305
0,1	25	13
0,1	26	81
0,1	27	161
0,1	28	497
0,1	29	212
0,1	30	175
0,1	31	96
0,1	32	711
0,1	33	126
0,1	34	65
0,1	35	77
0,1	36	15
0,1	37	19
0,1	38	45
0,1	39	143
0,1	40	43
0,1	41	1000
0,1	42	222
0,1	43	170
0,1	44	58
0,1	45	15
0,1	46	13
0,1	47	26
0,1	48	346
0,1	49	20
0,1	50	36
0,15000000000000002	1	241
0,15000000000000002	2	322
0,15000000000000002	3	220
0,15000000000000002	4	964
0,15000000000000002	5	544
0,15000000000000002	6	773
0,15000000000000002	7	139
0,15000000000000002	8	210
0,15000000000000002	9	221
0,15000000000000002	10	176
0,15000000000000002	11	127
0,15000000000000002	12	1000
0,15000000000000002	13	52
0,15000000000000002	14	1000
0,15000000000000002	15	171
0,15000000000000002	16	85
0,15000000000000002	17	158
0,15000000000000002	18	381
0,15000000000000002	19	203
0,15000000000000002	20	432
0,15000000000000002	21	209
0,15000000000000002	22	365
0,15000000000000002	23	106
0,15000000000000002	24	317
0,15000000000000002	25	508
0,15000000000000002	26	264
0,15000000000000002	27	61
0,15000000000000002	28	399
0,15000000000000002	29	550
0,15000000000000002	30	315
0,15000000000000002	31	401
0,15000000000000002	32	1000
0,15000000000000002	33	622
0,15000000000000002	34	206
0,15000000000000002	35	201
0,15000000000000002	36	910
0,15000000000000002	37	694
0,15000000000000002	38	500
0,15000000000000002	39	743
0,15000000000000002	40	617
0,15000000000000002	41	738
0,15000000000000002	42	69
0,15000000000000002	43	201
0,15000000000000002	44	502
0,15000000000000002	45	94
0,15000000000000002	46	157
0,15000000000000002	47	509
0,15000000000000002	48	217
0,15000000000000002	49	454
0,15000000000000002	50	149
0,2	1	226
0,2	2	170
0,2	3	385
0,2	4	503
0,2	5	631
0,2	6	235
0,2	7	466
0,2	8	697
0,2	9	304
0,2	10	768
0,2	11	138
0,2	12	167
0,2	13	225
0,2	14	266
0,2	15	616
0,2	16	213
0,2	17	533
0,2	18	179
0,2	19	267
0,2	20	457
0,2	21	138
0,2	22	390
0,2	23	219
0,2	24	199
0,2	25	53
0,2	26	263
0,2	27	256
0,2	28	513
0,2	29	58
0,2	30	336
0,2	31	745
0,2	32	254
0,2	33	268
0,2	34	611
0,2	35	1000
0,2	36	547
0,2	37	398
0,2	38	927
0,2	39	120
0,2	40	448
0,2	41	144
0,2	42	352
0,2	43	419
0,2	44	155
0,2	45	348
0,2	46	83
0,2	47	753
0,2	48	367
0,2	49	960
0,2	50	267
0,25	1	252
0,25	2	245
0,25	3	313
0,25	4	94
0,25	5	437
0,25	6	1000
0,25	7	668
0,25	8	372
0,25	9	373
0,25	10	464
0,25	11	306
0,25	12	414
0,25	13	314
0,25	14	401
0,25	15	113
0,25	16	1000
0,25	17	185
0,25	18	187
0,25	19	345
0,25	20	107
0,25	21	332
0,25	22	1000
0,25	23	543
0,25	24	186
0,25	25	335
0,25	26	251
0,25	27	574
0,25	28	111
0,25	29	182
0,25	30	265
0,25	31	462
0,25	32	286
0,25	33	107
0,25	34	693
0,25	35	203
0,25	36	360
0,25	37	611
0,25	38	156
0,25	39	150
0,25	40	628
0,25	41	162
0,25	42	241
0,25	43	499
0,25	44	321
0,25	45	843
0,25	46	466
0,25	47	251
0,25	48	86
0,25	49	640
0,25	50	212
0,3	1	182
0,3	2	162
0,3	3	709
0,3	4	278
0,3	5	589
0,3	6	359
0,3	7	102
0,3	8	346
0,3	9	614
0,3	10	160
0,3	11	619
0,3	12	155
0,3	13	305
0,3	14	150
0,3	15	107
0,3	16	178
0,3	17	96
0,3	18	156
0,3	19	732
0,3	20	341
0,3	21	268
0,3	22	362
0,3	23	174
0,3	24	322
0,3	25	298
0,3	26	120
0,3	27	243
0,3	28	233
0,3	29	382
0,3	30	574
0,3	31	283
0,3	32	1000
0,3	33	594
0,3	34	244
0,3	35	184
0,3	36	217
0,3	37	395
0,3	38	251
0,3	39	193
0,3	40	698
0,3	41	236
0,3	42	397
0,3	43	189
0,3	44	195
0,3	45	369
0,3	46	596
0,3	47	448
0,3	48	292
0,3	49	274
0,3	50	386
0,35	1	256
0,35	2	185
0,35	3	137
0,35	4	308
0,35	5	403
0,35	6	571
0,35	7	461
0,35	8	633
0,35	9	112
0,35	10	490
0,35	11	644
0,35	12	240
0,35	13	123
0,35	14	169
0,35	15	143
0,35	16	1000
0,35	17	459
0,35	18	957
0,35	19	660
0,35	20	440
0,35	21	164
0,35	22	151
0,35	23	377
0,35	24	782
0,35	25	557
0,35	26	142
0,35	27	487
0,35	28	470
0,35	29	157
0,35	30	206
0,35	31	147
0,35	32	628
0,35	33	375
0,35	34	127
0,35	35	357
0,35	36	587
0,35	37	452
0,35	38	228
0,35	39	417
0,35	40	447
0,35	41	309
0,35	42	242
0,35	43	1000
0,35	44	299
0,35	45	327
0,35	46	231
0,35	47	210
0,35	48	246
0,35	49	315
0,35	50	479
0,39999999999999997	1	129
0,39999999999999997	2	175
0,39999999999999997	3	70
0,39999999999999997	4	142
0,39999999999999997	5	367
0,39999999999999997	6	199
0,39999999999999997	7	630
0,39999999999999997	8	351
0,39999999999999997	9	458
0,39999999999999997	10	215
0,39999999999999997	11	727
0,39999999999999997	12	488
0,39999999999999997	13	282
0,39999999999999997	14	385
0,39999999999999997	15	210
0,39999999999999997	16	225
0,39999999999999997	17	126
0,39999999999999997	18	701
0,39999999999999997	19	266
0,39999999999999997	20	426
0,39999999999999997	21	258
0,39999999999999997	22	893
0,39999999999999997	23	285
0,39999999999999997	24	538
0,39999999999999997	25	97
0,39999999999999997	26	620
0,39999999999999997	27	154
0,39999999999999997	28	227
0,39999999999999997	29	615
0,39999999999999997	30	116
0,39999999999999997	31	248
0,39999999999999997	32	277
0,39999999999999997	33	533
0,39999999999999997	34	518
0,39999999999999997	35	1000
0,39999999999999997	36	182
0,39999999999999997	37	398
0,39999999999999997	38	175
0,39999999999999997	39	310
0,39999999999999997	40	147
0,39999999999999997	41	362
0,39999999999999997	42	174
0,39999999999999997	43	248
0,39999999999999997	44	315
0,39999999999999997	45	559
0,39999999999999997	46	156
0,39999999999999997	47	494
0,39999999999999997	48	216
0,39999999999999997	49	239
0,39999999999999997	50	402
0,44999999999999996	1	181
0,44999999999999996	2	1000
0,44999999999999996	3	79
0,44999999999999996	4	527
0,44999999999999996	5	533
0,44999999999999996	6	347
0,44999999999999996	7	159
0,44999999999999996	8	220
0,44999999999999996	9	190
0,44999999999999996	10	151
0,44999999999999996	11	317
0,44999999999999996	12	296
0,44999999999999996	13	254
0,44999999999999996	14	169
0,44999999999999996	15	121
0,44999999999999996	16	619
0,44999999999999996	17	241
0,44999999999999996	18	402
0,44999999999999996	19	120
0,44999999999999996	20	748
0,44999999999999996	21	168
0,44999999999999996	22	180
0,44999999999999996	23	635
0,44999999999999996	24	352
0,44999999999999996	25	293
0,44999999999999996	26	603
0,44999999999999996	27	465
0,44999999999999996	28	1000
0,44999999999999996	29	200
0,44999999999999996	30	485
0,44999999999999996	31	534
0,44999999999999996	32	163
0,44999999999999996	33	299
0,44999999999999996	34	352
0,44999999999999996	35	329
0,44999999999999996	36	293
0,44999999999999996	37	339
0,44999999999999996	38	629
